State,Year,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
Alabama,2023,"13,000","5,800","63,300","54,200","441,200",100,100,0,0,"4,102,200","127,000","29,000"
Alaska,2023,"2,700",900,"10,600","9,600","46,800",0,0,0,0,"454,300","29,800","5,100"
Arizona,2023,"89,800","25,600","175,700","68,600","437,100",600,700,0,0,"5,469,000","197,700","64,200"
Arkansas,2023,"7,100","3,200","37,000","37,000","276,700",200,0,0,0,"2,246,100","90,700","10,300"
California,2023,"1,256,600","410,700","1,703,200","201,600","1,314,600","10,100","1,500","16,900",0,"31,191,900","735,300","7,900"
Colorado,2023,"90,100","37,500","152,700","68,100","334,300",300,100,0,0,"4,508,800","203,400","46,500"
Connecticut,2023,"31,600","18,400","75,300","10,900","133,600",100,0,0,0,"2,612,600","42,300","20,900"
Delaware,2023,"8,400","3,800","22,900","5,100","63,900",0,0,0,0,"791,300","14,200","5,100"
District of Columbia,2023,"8,100","3,700","18,100",400,"16,800",100,0,0,0,"262,500","1,800",600
Florida,2023,"254,900","57,300","414,500","170,500","1,101,100",400,100,0,0,"16,136,500","351,800","96,100"
Georgia,2023,"92,400","22,700","175,300","92,500","719,400",300,200,0,0,"8,256,400","206,300","76,900"
Hawaii,2023,"25,600","7,300","36,400","3,400","37,300",0,0,0,0,"951,000","15,400","3,700"
Idaho,2023,"8,500","4,600","43,700","45,900","132,900",100,100,0,0,"1,568,600","138,600","31,600"
Illinois,2023,"99,600","33,400","285,400","61,500","772,900",300,0,0,0,"8,560,300","170,200","59,600"
Indiana,2023,"26,100","12,900","119,100","56,300","576,300",300,0,0,0,"5,166,200","156,400","58,500"
Iowa,2023,"9,000","6,100","57,200","41,700","331,300",100,0,0,0,"2,545,400","105,000","57,500"
Kansas,2023,"11,300","5,600","50,400","27,900","253,500",200,100,0,0,"2,168,600","87,400","16,100"
Kentucky,2023,"11,600","5,600","67,100","36,900","361,200",300,0,0,0,"3,415,000","117,600","24,400"
Louisiana,2023,"8,200","4,000","40,200","64,200","380,100",100,0,0,0,"3,142,800","115,500","19,100"
Maine,2023,"7,400","7,600","33,600","12,000","104,500",0,0,0,0,"1,036,100","26,900","7,900"
